"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"ANTELO";3156;0;"3156-0";"";"INSERT INTO tbl_localidades VALUES ('3156-0', 'ANTELO(3156-0)', NOW(), NOW(), '1', '1', 'Localidad ANTELO(3156-0)', 0, '1', 'ANTELO', 3156, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ARANGUREN";3158;0;"3158-0";"3158-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3158-0' WHERE loc_cpos = 3158 AND loc_scpo = 0;"
"RINCON DE NOGOYA";3155;0;"3155-0";"3150-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3150-0' WHERE loc_cpos = 3155 AND loc_scpo = 0;"
"LUCAS GONZALEZ";3162;0;"3162-0";"3162-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3162-0' WHERE loc_cpos = 3162 AND loc_scpo = 0;"
"EL PUEBLITO";3162;1;"3162-1";"";"INSERT INTO tbl_localidades VALUES ('3162-1', 'EL PUEBLITO(3162-1)', NOW(), NOW(), '1', '1', 'Localidad EL PUEBLITO(3162-1)', 0, '1', 'EL PUEBLITO', 3162, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"HERNANDEZ";3164;0;"3164-0";"3164-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3164-0' WHERE loc_cpos = 3164 AND loc_scpo = 0;"
"BASAVILBASO";3170;0;"3170-0";"3170-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3170-0' WHERE loc_cpos = 3170 AND loc_scpo = 0;"
"ESTACION LIBAROS";3170;1;"3170-1";"3170-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3170-1' WHERE loc_cpos = 3170 AND loc_scpo = 1;"
"VILLA MANTERO";3170;2;"3170-2";"3170-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3170-0' WHERE loc_cpos = 3170 AND loc_scpo = 2;"
"ESTACION URQUIZA";3170;3;"3170-3";"3170-2";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3170-2' WHERE loc_cpos = 3170 AND loc_scpo = 3;"
"ROSARIO DEL TALA";3174;0;"3174-0";"3174-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3174-0' WHERE loc_cpos = 3174 AND loc_scpo = 0;"
"GOBERNADOR SOLA";3176;0;"3176-0";"3176-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3176-0' WHERE loc_cpos = 3176 AND loc_scpo = 0;"
"MACIA";3177;0;"3177-0";"3177-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3177-0' WHERE loc_cpos = 3177 AND loc_scpo = 0;"
"ESTACIÓN DURAZNO";3177;1;"3177-1";"3177-1*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3177-1' WHERE loc_cpos = 3177 AND loc_scpo = 1;"
"FEDERAL";3180;0;"3180-0";"3180-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3180-0' WHERE loc_cpos = 3180 AND loc_scpo = 0;"
"LOS CONQUISTADORES";3183;0;"3183-0";"3183-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3183-0' WHERE loc_cpos = 3183 AND loc_scpo = 0;"
"SAN JAIME DE LA FRONTERA";3185;0;"3185-0";"3185-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3185-0' WHERE loc_cpos = 3185 AND loc_scpo = 0;"
"SAN JOSÉ DE FELICIANO";3187;0;"3187-0";"3187-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3187-0' WHERE loc_cpos = 3187 AND loc_scpo = 0;"
"CONSCRIPTO BERNARDO";3188;0;"3188-0";"3188-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3188-0' WHERE loc_cpos = 3188 AND loc_scpo = 0;"
"LA PAZ";3190;0;"3190-0";"3190-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3190-0' WHERE loc_cpos = 3190 AND loc_scpo = 0;"
"SAN GUSTAVO";3191;0;"3191-0";"3191-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3191-0' WHERE loc_cpos = 3191 AND loc_scpo = 0;"
"SANTA ELENA";3192;0;"3192-0";"3192-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3192-0' WHERE loc_cpos = 3192 AND loc_scpo = 0;"
"CONCORDIA";3200;0;"3200-0";"3200-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3200-0' WHERE loc_cpos = 3200 AND loc_scpo = 0;"
"VILLA ADELA";3201;0;"3201-0";"3201-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3201-0' WHERE loc_cpos = 3201 AND loc_scpo = 0;"
"PUERTO YERUA";3201;1;"3201-1";"3201-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3201-1' WHERE loc_cpos = 3201 AND loc_scpo = 1;"
"VILLA ZORRAQUIN";3201;2;"3201-2";"3201-2";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3201-2' WHERE loc_cpos = 3201 AND loc_scpo = 2;"
"COLONIA GENERAL ROCA";3201;3;"3201-3";"";"INSERT INTO tbl_localidades VALUES ('3201-3', 'COLONIA GENERAL ROCA(3201-3)', NOW(), NOW(), '1', '1', 'Localidad COLONIA GENERAL ROCA(3201-3)', 0, '1', 'COLONIA GENERAL ROCA', 3201, 3, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
