loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3203;1;CLODOMIRO LEDESMA (3203-1);3203-1;CLODOMIRO LEDESMA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.36 con CALABACILLA);
3203;2;CALABACILLA (3203-2);3203-2;CALABACILLA;3203-0;MATCH_EXACTO;Nombre idéntico;CALABACILLA (3203-0)
3203;3;BENITO LEGERÉN (3203-3);3203-3;BENITO LEGERÉN;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.24 con CALABACILLA);
3204;0;COLONIA AYUI (3204-0);3204-0;COLONIA AYUI;3204-0;MATCH_EXACTO;Nombre idéntico;COLONIA AYUI (3204-0)
3206;0;FEDERACIÓN (3206-0);3206-0;FEDERACIÓN;3206-0;MATCH_EXACTO;Nombre idéntico;FEDERACION (3206-0)
3206;1;COLONIA LA ARGENTINA (3206-1);3206-1;COLONIA LA ARGENTINA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.20 con FEDERACION);
3208;0;SANTA ANA (3208-0);3208-0;SANTA ANA;3208-0;MATCH_EXACTO;Nombre idéntico;SANTA ANA (3208-0)
3212;0;LOS CHARRUAS (3212-0);3212-0;LOS CHARRUAS;3212-0;MATCH_EXACTO;Nombre idéntico;LOS CHARRUAS (3212-0)
3212;1;NUEVA VIZCAYA (3212-1);3212-1;NUEVA VIZCAYA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.35 con LA CRIOLLA);
3212;2;LA CRIOLLA (3212-2);3212-2;LA CRIOLLA;3212-1;MATCH_EXACTO;Nombre idéntico;LA CRIOLLA (3212-1)
3212;3;OSVALDO MAGNASCO (3212-3);3212-3;OSVALDO MAGNASCO;3212-2;MATCH_EXACTO;Nombre idéntico;OSVALDO  MAGNASCO (3212-2)
3214;0;ESTACIÓN YUQUERÍ (3214-0);3214-0;ESTACIÓN YUQUERÍ;;SIN_MATCH_CPOS;loc_cpos 3214 no existe en TBL;
